,price,bhk,location,area(sqft)
0,25.5 Lac,2BHKFlat,Sonarpur,823
1,49.5 Lac,2BHKFlat,BTRoad,627
2,29 Lac,3BHKFlat,Rajpur,1050
3,41.5 Lac,2BHKFlat,Narendrapur,1011
4,29.7 Lac,2BHKFlat,Sonarpur,957
5,36.2 Lac,3BHKFlat,Barasat,1064
6,23.9 Lac,2BHKFlat,Maheshtala,526
7,69.7 Lac,3BHKFlat,Howrah,1326
8,40.4 Lac,3BHKFlat,Rajpur,1188
9,26.8 Lac,2BHKFlat,Sonarpur,863
10,63 Lac,3BHKFlat,Rajarhat,834
11,71 Lac,3BHKFlat,NewTown,1420
12,52.2 Lac,3BHKFlat,Rajarhat,1317
13,39.8 Lac,2BHKFlat,NewTown,913
14,72.6 Lac,3BHKFlat,BTRoad,1670
15,29 Lac,2BHKFlat,"e,inMadhyamGram",880
16,26.4 Lac,2BHKFlat,ThakurPukur,799
17,61.3 Lac,3BHKFlat,Rajarhat,1180
18,21.4 Lac,2BHKFlat,Joka,647
19,1.07 Cr,3BHKFlat,",inTopsia",1126
20,70 Lac,3BHKFlat,Rajarhat,1970
21,64.2 Lac,3BHKFlat,Rajarhat,1337
22,78 Lac,3BHKFlat,"Towers,inHowrah",1300
23,27.7 Lac,2BHKFlat,"Kamalgazi,Narendrapur",955
24,62 Lac,2BHKFlat,Rajarhat,670
25,48 Lac,3BHKFlat,"Naktala,Garia",806
26,54.8 Lac,3BHKFlat,"IndianInstituteOfManagementCalcutta,Joka",1370
27,56.9 Lac,3BHKFlat,DumdumPark,911
28,49.7 Lac,2BHKFlat,Rajarhat,1105
29,41 Lac,2BHKFlat,"DakshinSrirampur,Rajpur",725
